"location.long","location.lat","timestamp","burst_","step_id_","case_","x1_","y1_","x2_","y2_","t1_","t2_","dt_","sl_","ta_","individual.local.identifier","utm.northing","x2_.1"
-8.50116617591586,TRUE,"2014-04-13 13:56:49",2,27,FALSE,4968357.76148535,-1184961.42068843,4968244.01164628,-1184591.07614986,"2014-04-13 13:56:49","2014-04-13 14:12:28",15.65,370.240606111372,1.88307952785047,"B3",-1184591.07614986,-1.31454404879875
-8.50120057503371,TRUE,"2014-04-14 12:13:17",5,52,FALSE,4967378.87055837,-1184903.62539396,4967293.08346566,-1184486.8953416,"2014-04-14 12:13:17","2014-04-14 12:29:05",15.8,410.569005060444,-4.5018910845921,"B3",-1184486.8953416,-1.32145461943335
-8.5012603717754,TRUE,"2014-04-14 09:09:24",4,44,FALSE,4967632.32783163,-1185062.71188309,4967857.14085392,-1184559.91345328,"2014-04-14 09:09:24","2014-04-14 09:25:37",16.2166666666667,553.061135280442,26.2849300836733,"B3",-1184559.91345328,-1.31734620276555
-8.50142758687208,TRUE,"2014-04-13 11:05:42",1,19,FALSE,4968449.66987863,-1184947.33479144,4968215.92983964,-1184624.44523454,"2014-04-13 11:05:42","2014-04-13 11:22:17",16.5833333333333,410.557431458631,-98.3544857127376,"B3",-1184624.44523454,-1.31471813140956
-8.50154289861815,TRUE,"2014-04-16 14:24:47",12,129,FALSE,4967949.66817482,-1185131.29354688,4967600.8840613,-1184570.08264429,"2014-04-16 14:24:47","2014-04-16 14:40:12",15.4166666666667,601.934608833235,-10.3775346549386,"B3",-1184570.08264429,-1.31917701491874
-8.50157175563865,TRUE,"2014-04-14 11:26:31",5,49,FALSE,4967372.66733774,-1184931.0445314,4967613.2359734,-1184575.53713316,"2014-04-14 11:26:31","2014-04-14 11:42:01",15.5,414.234383816839,-11.6152299409913,"B3",-1184575.53713316,-1.31908387593014
-8.50161535088881,TRUE,"2014-04-13 10:18:35",1,16,FALSE,4968423.57701914,-1184995.01292633,4968689.97029892,-1184705.07261692,"2014-04-13 10:18:35","2014-04-13 10:33:57",15.3666666666667,399.333367843534,-175.088694703217,"B3",-1184705.07261692,-1.31124980721053
-8.50172831824458,TRUE,"2014-04-13 10:49:45",1,18,FALSE,4968457.88171952,-1184982.56909625,4968426.80117997,-1184690.71207641,"2014-04-13 10:49:45","2014-04-13 11:05:42",15.95,258.498003490307,77.0895467343423,"B3",-1184690.71207641,-1.31315025656649
-8.50176543107202,TRUE,"2014-04-14 11:57:44",5,51,FALSE,4967333.94277822,-1184920.03549624,4967410.21116526,-1184579.37244891,"2014-04-14 11:57:44","2014-04-14 12:13:17",15.55,333.101845143345,139.56985963462,"B3",-1184579.37244891,-1.32053787971658
-8.50183555546726,TRUE,"2014-04-13 10:49:45",1,18,FALSE,4968457.88171952,-1184982.56909625,4968732.81077843,-1184740.80684594,"2014-04-13 10:49:45","2014-04-13 11:05:42",15.95,343.860116473504,170.290274835341,"B3",-1184740.80684594,-1.31091296437733
-8.50184423367329,TRUE,"2014-04-16 14:40:12",12,130,FALSE,4967911.08742347,-1185060.66894197,4967745.25138892,-1184628.80451976,"2014-04-16 14:40:12","2014-04-16 14:55:45",15.55,409.208833784113,-167.657943585889,"B3",-1184628.80451976,-1.31809256286377
-8.50184562278048,TRUE,"2014-04-14 11:57:44",5,51,FALSE,4967333.94277822,-1184920.03549624,4967321.23411759,-1184580.39727323,"2014-04-14 11:57:44","2014-04-14 12:13:17",15.55,323.47786336902,108.424244237093,"B3",-1184580.39727323,-1.3211756560953
-8.50192173704322,TRUE,"2014-04-13 10:03:09",1,15,FALSE,4968449.34568383,-1184992.64167349,4968498.54002465,-1184726.00933057,"2014-04-13 10:03:09","2014-04-13 10:18:35",15.4333333333333,273.464838149178,-168.256084385039,"B3",-1184726.00933057,-1.31260637535204
-8.50204478092961,TRUE,"2014-04-14 14:05:02",5,59,FALSE,4967758.61381866,-1185068.37134513,4967876.20399523,-1184671.88419631,"2014-04-14 14:05:02","2014-04-14 14:21:27",16.4166666666667,424.800926431874,101.821285918072,"B3",-1184671.88419631,-1.31711726908706
